year,primary_type,description,location_description,district,arrest,Num_Occurance
2020,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,12,False,1
2020,HOMICIDE,FIRST DEGREE MURDER,CHA APARTMENT,12,True,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,12,False,1
2020,THEFT,PURSE-SNATCHING,SIDEWALK,1,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,12,True,1
2020,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,12,False,1
2020,BATTERY,AGG PO HANDS NO/MIN INJURY,APARTMENT,12,False,1
2020,STALKING,SIMPLE,RESIDENCE,12,False,1
2020,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,12,False,1
2020,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,12,False,1
2020,INTIMIDATION,EXTORTION,APARTMENT,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,COMMERCIAL / BUSINESS OFFICE,1,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PRIVATE, BUILDING",11,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,False,2
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,SMALL RETAIL STORE,1,False,1
